"","ParksID","InspectionID","NextToAnotherGarden","TotalFenceLength","TotalSidewalkArea","TotalSidewalkLength","OnSiteService","HydrantW_in15ft","HydrantOnGardenSide","RainHarvesting","RainGallons","SolarPanels","CompostSystem","CompostTumblers","NonFoodPlants","Food","OpenLawnOrCommunalArea","PavedArea","TreesInGarden","FruitTrees","StreetTrees","EmptyTreePits","Murals","BlankShed","ParksSign","Chickens","Pond","FishInPond","Turtles","Aquaponics","FarmersMarket","CSApickup","Composting","Greenhouse","StructureForSeasonExtension","assemblydist","borough","communityboard","congressionaldist","coundist","gardenname","juris","multipolygon","openhrsf","openhrsm","openhrssa","openhrssu","openhrsth","openhrstu","openhrsw","policeprecinct","statesenatedist","status","zipcode"
"11","B400-GT001",266,"false",700,5838.5,581.5,"true","false","false","false",NA,"false","true","true","true","true","true","true","true","true","true","false","true","true","true","true","false","","false","false","true","false","true","true","false",56,"B",303,8,36,"Hattie Carthan Community Garden","DPR","MULTIPOLYGON (((-73.94883383062528 40.6895065852179, -73.94883017756725 40.68948790244239, -73.94814872743025 40.68957124881306, -73.94815797378962 40.689617177362756, -73.94826442571829 40.69014590227662, -73.94826494779491 40.690148494188804, -73.94889265507648 40.69008150091526, -73.94889549815628 40.69008119780433, -73.94889302936593 40.69006856790846, -73.94883814228803 40.689787828282284, -73.94888770519606 40.6897821455538, -73.94883383062528 40.6895065852179)))","10:00 a.m. - 6:00 p.m.","10:00 a.m. - 12:00 p.m.","10:00 a.m. - 6:00 p.m.","","","10:00 a.m. - 12:00 p.m.","",79,25,"Active",11216
"12","B408-GT001",289,"false",100,1720,163,"false","true","true","true",150,"false","false","false","true","false","true","false","true","true","true","false","false","true","true","false","false","","false","false","false","false","false","false","false",51,"B",306,10,39,"Human Compass Community Garden","DPR","MULTIPOLYGON (((-74.00260085772489 40.68496790576711, -74.00265238513846 40.68486087222249, -74.00232868715416 40.684770829648606, -74.00227744908231 40.68487696433097, -74.00260085772489 40.68496790576711)))","9:00 a.m. to 6:00 p.m.","","9:00 a.m. to 6:00 p.m.","9:00 a.m. to 6:00 p.m.","","","",76,26,"Active",11231
"13","B409-GT001",36,"false",NA,2460,164,"false","false","true","true",3500,"false","true","false","true","true","true","false","true","true","true","false","false","false","true","false","false","","false","false","false","false","true","false","false",52,"B",306,10,39,"Amazing Garden","DPR","MULTIPOLYGON (((-74.00342217565121 40.683247396657926, -74.00350083033196 40.68308955670184, -74.00324275954611 40.68302165470186, -74.0032176416544 40.68307352411317, -74.00319269877805 40.68312503150722, -74.00316775704606 40.68317653889543, -74.00342217565121 40.683247396657926)))","","","","","","","",76,26,"Active",11231
"14","B410-GT001",47,"false",0,2059,168,"false","true","true","true",1000,"false","true","true","true","true","true","false","true","true","true","true","false","false","true","false","false","","false","false","false","false","true","false","false",51,"B",306,10,39,"Backyard Garden","DPR","MULTIPOLYGON (((-74.00583490356485 40.68339894526064, -74.00561393656155 40.68306771659175, -74.00533072358304 40.68316722605134, -74.00536225606712 40.6831896275733, -74.00538197290064 40.68320363414788, -74.00542878133771 40.68323688612958, -74.0054389171781 40.68324408616074, -74.00549862498809 40.68328650113371, -74.00555348852606 40.683325475445436, -74.00555489510229 40.68332647494805, -74.005611625468 40.683366775598834, -74.0056020277003 40.68338631721963, -74.00567989065723 40.683408001381004, -74.00581421357427 40.68344540742546, -74.00582402872773 40.68342336594932, -74.00583490356485 40.68339894526064)))","","","10:00 a.m. to 3:00 p.m.","10:00 a.m. to 3:00 p.m.","","","",76,26,"Active",11231
"15","B411-GT001",500,"false",NA,1916,162,"false","false","false","false",NA,"false","true","false","true","true","true","false","true","true","true","false","false","false","true","false","false","","false","false","false","false","true","false","false",52,"B",306,10,39,"Summit Street Community Garden","DPR","MULTIPOLYGON (((-74.00358410741855 40.682402578993084, -74.00355617714919 40.68245581645074, -74.00349073079053 40.682438077427, -74.0034632890116 40.68249207758245, -74.00374783322933 40.68257078440168, -74.00379153996317 40.68252007952559, -74.00383261247852 40.68243132619975, -74.00383174137272 40.682422839784124, -74.00377650987383 40.682393384894176, -74.00366070601517 40.68235240714128, -74.00360624736709 40.68235002610069, -74.00358410741855 40.682402578993084)))","","","11:00a - 4:00p","11:00a - 4:00p","","","",76,26,"Active",11231
"16","B413-GT001",286,"false",1763.5,2107.5,140.5,"false","false","true","true",200,"false","true","true","true","true","true","false","true","true","true","false","false","false","true","false","false","","false","false","false","false","true","false","false",55,"B",316,8,37,"Betty's Community Garden at Hull Street","DPR","MULTIPOLYGON (((-73.9077509567694 40.680274095184586, -73.90784111749569 40.680263677336534, -73.90792710673885 40.680253741457356, -73.90787171374704 40.679976692454424, -73.90778572603568 40.679986628293456, -73.90769556449496 40.67999704429651, -73.90760841733979 40.68000711415017, -73.90751991083053 40.68001734133588, -73.90745396629512 40.6800249607013, -73.90738037448996 40.68003346358221, -73.9074357654877 40.68031051281978, -73.90747580252888 40.68030588665811, -73.90750935640993 40.68030200900228, -73.90757150833012 40.680294828711446, -73.90757530121172 40.680294390505885, -73.907659984439 40.68028460596427, -73.90766380926303 40.68028416327883, -73.9077509567694 40.680274095184586)))","","5:00 p.m. to 8:00 p.m.","9:00 a.m. - 2:00 p.m.","9:00 a.m. - 2:00 p.m.","","","",73,25,"Active",11233
"17","B414-GT001",150,"false",NA,1230,82,"true","false","false","true",500,"true","true","false","true","true","true","false","true","true","false","false","false","false","true","false","true","true","false","true","false","true","true","false","false",44,"B",307,10,39,"East 4th Street Community Garden (Windsor Terrace Kensington Veterans Memorial)","DPR","MULTIPOLYGON (((-73.97693043384864 40.648258363305686, -73.97694206453228 40.64827429399569, -73.97697958481042 40.64832568595388, -73.97701748094109 40.64837759217027, -73.97702592332028 40.64838915560399, -73.97693512626337 40.64839896387972, -73.97694294819335 40.64844053424627, -73.97696382600213 40.64855147500704, -73.9769941384473 40.64853966898399, -73.97705000034765 40.64851791193053, -73.97710495762834 40.64849650767269, -73.97710347695659 40.64849430921425, -73.9772316024732 40.648444408148265, -73.97732694088924 40.64843425383461, -73.97728649635434 40.648219917233504, -73.97693043384864 40.648258363305686)))","","","9:00a - 1:00p","10:00a - 2:00p","","","4:30 - 6:30p",72,20,"Active",11218
"18","B415-GT001",232,"false",NA,1250,125,"false","true","true","true",50,"false","false","false","true","true","true","false","true","false","true","false","true","true","true","false","false","false","false","false","false","false","false","false","false",60,"B",305,8,42,"Georgia Avenue Community Garden","DPR","MULTIPOLYGON (((-73.89434003662207 40.66092188751053, -73.89448635858886 40.66111929898857, -73.89455812333034 40.66108147283868, -73.89441531673205 40.660889383131696, -73.89434003662207 40.66092188751053)))","11:00 a.m. -  4:00 p.m.","11:00 a.m. -  4:00 p.m.","11:00 a.m. -  4:00 p.m.","","","","11:00 a.m. - 4:00 p.m.",75,19,"Active",11207
"19","B416-GT001",514,"false",378,1520,152,"true","false","false","false",0,"false","false","false","true","true","true","false","true","true","true","true","false","false","true","false","false","false","false","false","false","false","false","false","false",55,"B",305,8,37,"TLC Sculpture Park Garden","DPR","MULTIPOLYGON (((-73.90054865514128 40.67287370323952, -73.90082039209503 40.67283252219544, -73.90075130371116 40.67256313097313, -73.90047977957074 40.672604278719454, -73.90054865514128 40.67287370323952)))","","","11:00 a.m. - 6:00 p.m.","11:00 a.m. - 6:00 p.m.","","","12:00 p.m.  -  6:00 p.m.",75,19,"Active",11207
"20","B417-GT001",410,"false",504,2275,325,"true","true","true","false",NA,"false","false","false","true","false","true","false","false","false","true","true","false","false","true","false","false","","false","false","false","false","false","false","false",54,"B",305,8,37,"Paradise Community Garden","DPR","MULTIPOLYGON (((-73.88459840043988 40.67481285533216, -73.88526200370198 40.674715831088264, -73.88520522571608 40.67450369039635, -73.88455556291004 40.67460031046264, -73.88454560573415 40.67461434581473, -73.88454620419404 40.67463007212114, -73.88454679723826 40.67464961030508, -73.88455239327627 40.674670582627655, -73.88458101182026 40.67477020477517, -73.88459840043988 40.67481285533216)))","","","","","","","",75,19,"Active",11207
"21","B420-GT001",523,"false",383.5,4533,294,"false","true","true","true",240,"false","false","true","true","true","true","true","true","true","true","false","true","false","true","true","false","","false","false","false","false","true","false","false",55,"B",303,8,41,"Umoja Garden","DPR","MULTIPOLYGON (((-73.91957692281225 40.687761048115895, -73.91962298176833 40.68772176746278, -73.91969051996601 40.68778006975839, -73.91971729167658 40.6877718685483, -73.91968931924372 40.68760816262463, -73.91912630201239 40.68767674588264, -73.91911596037274 40.68768638762039, -73.91944298975139 40.68786459817778, -73.91955721449933 40.687752814450135, -73.91957692281225 40.687761048115895)))","2:00 p.m. - 7:00 p.m.","1:00 p.m. - 5:00 p.m.","9:30 a.m. - 5:00 p.m.","","1:00 p.m. - 6:00 p.m.","1:00 p.m. - 5:00 p.m.","1:00 p.m. - 5:00 p.m.",81,25,"Active",11221
"22","B421-GT001",72,"false",0,1122,66,"false","false","false","true",2000,"false","true","true","true","true","true","false","true","true","true","false","true","true","true","false","false","","false","false","false","false","true","false","false",57,"B",302,7,35,"Brooklyn Bears/Carlton Avenue Garden","DPR","MULTIPOLYGON (((-73.97121869281987 40.685604249919855, -73.97085569920564 40.6856464935104, -73.97086542441548 40.685695050774655, -73.97087738057724 40.68575474525602, -73.97093653059926 40.685747861374715, -73.97094993164195 40.685814766626585, -73.97102377961077 40.68580617183184, -73.97109928379395 40.68579738649674, -73.97117253193093 40.68578886169594, -73.97125377610742 40.68577940681448, -73.97126541587897 40.6857780526474, -73.97125059752125 40.68571072023438, -73.97124708708475 40.6856928711746, -73.97122941217143 40.6856030026873, -73.97121869281987 40.685604249919855)))","","","10:00a - 3:00p","10:00a - 3:00p","","","",88,25,"Active",11238
"23","B422-GT001",74,"false",0,3708,261,"true","false","false","true",150,"false","true","true","true","true","true","true","true","true","false","false","false","false","true","false","false","","false","false","false","false","true","false","false",57,"B",302,7,35,"Brooklyn Bears/Rockwell Place Garden","DPR","MULTIPOLYGON (((-73.97925031779589 40.686810653241714, -73.97916867912771 40.68682150949233, -73.97920594953021 40.68706640910464, -73.97940381260872 40.68702374053326, -73.97925031779589 40.686810653241714)))","","","10:00a - 3:00p","12:00p - 5:00p","","","",88,26,"Active",11217
"24","B423-GT001",290,"false",0,840,70,"true","false","false","false",NA,"false","true","false","true","true","true","false","true","false","true","true","true","false","true","false","false","","false","false","false","false","true","true","false",53,"B",301,7,33,"George Washington Carver Community Garden","DPR","MULTIPOLYGON (((-73.94803908489972 40.702906732167456, -73.94804240993867 40.702909699054125, -73.94804261119111 40.70290957487433, -73.94812321274361 40.702859834533506, -73.94824776544326 40.702779606362874, -73.9482425295682 40.70277493305326, -73.94800349751645 40.70256158409433, -73.94793687808215 40.70260474253302, -73.94786871006765 40.702648904302414, -73.94786706331277 40.702649971563716, -73.94780005302647 40.70269338278966, -73.94803908489972 40.702906732167456)))","","","","8:00 a.m. - 1:00 p.m.","9:00 a.m. - 12:00 p.m.","5:00 p.m. - 7:00 p.m.","",90,18,"Active",11206
"25","B424-GT001",169,"false",0,1224,102,"false","false","false","true",2000,"false","true","false","true","true","true","false","true","true","true","false","true","false","true","false","false","","false","false","false","false","true","false","false",53,"B",301,7,34,"El Puente: Espiritu Tierra Community Garden - Earth Spirit","DPR","MULTIPOLYGON (((-73.95967599680367 40.712469803974194, -73.9593483483016 40.71234853402553, -73.95918713448903 40.71260596271546, -73.95930480714902 40.71264926040503, -73.9593453392068 40.71266417457615, -73.95942990913163 40.71269529184139, -73.95950771253884 40.71272391855342, -73.95967599680367 40.712469803974194)))","12:00 p.m. - 2:00 p.m.","","12:00 - 1:00 p.m. & 2:00 p.m. - 3:00 p.m.","11:00 a.m. - 12:00 p.m. & 1:00 p.m. - 4:00 p.m.","","10:00 a.m. - 11:00 a.m. & 5:00 p.m. - 6:00 p.m.","5:00 p.m. - 7:00 p.m.",90,59,"Active",11211
"26","B425-GT001",403,"false",NA,1879,130,"false","true","true","true",450,"false","true","false","true","true","true","false","true","false","false","false","false","false","true","false","false","","false","false","false","false","true","false","false",53,"B",301,7,34,"Olive Street Garden","DPR","MULTIPOLYGON (((-73.93893423796702 40.713381019881076, -73.9391979678951 40.71338553325525, -73.93912006571173 40.71319775990791, -73.93894290519695 40.71324062584845, -73.93893423796702 40.713381019881076)))","10:00a - 12:00p","10:00a - 12:00p","10:00a - 1:00p","10:00a - 1:00p","","","10:00a - 12:00p",90,18,"Active",11211
"27","B426-GT001",437,"false",NA,500,50,"false","false","false","false",NA,"false","false","false","true","true","false","true","true","false","true","false","true","false","true","false","false","","false","false","false","false","false","false","false",53,"B",301,7,34,"Powers Street Garden","DPR","MULTIPOLYGON (((-73.93968485927934 40.7128855304415, -73.93985159718093 40.7128450370622, -73.93974298123084 40.71258119993331, -73.93957662297342 40.712622613677695, -73.93968485927934 40.7128855304415)))","8:00a - 8:00p","","10:00a - 2:00p","10:00a - 2:00p","","","",90,18,"Active",11211
"28","B427-GT001",504,"false",0,700,50,"false","false","true","true",1000,"false","true","true","true","true","true","true","true","true","true","false","false","false","true","false","false","","false","false","false","false","true","false","false",53,"B",301,7,34,"Sunshine Community Garden","DPR","MULTIPOLYGON (((-73.94412030988389 40.705419450386856, -73.94410972373917 40.70535479481489, -73.94409820637463 40.70528446466515, -73.94407499632044 40.70514271375551, -73.94398552984758 40.705151259333306, -73.94390166440164 40.70515926996591, -73.94394697844083 40.70543600576499, -73.94403084304544 40.70542799599952, -73.94412030988389 40.705419450386856)))","12:00p - 4:00p","","2:00p - 6:00p","11:00a - 3:00p","","","",90,18,"Active",11206
"29","B428-GT001",237,"false",0,3000,250,"true","true","true","true",6,"false","false","false","true","true","true","true","true","false","true","false","true","false","true","false","false","","false","false","false","false","false","false","false",53,"B",304,7,34,"Good Life Garden","DPR","MULTIPOLYGON (((-73.92336666826023 40.69097270106621, -73.92330888886737 40.69093984696498, -73.92313897327584 40.69111046285368, -73.9231967515498 40.691143317038694, -73.9232516415543 40.691174528532905, -73.92330653279323 40.691205740001614, -73.92336142408253 40.691236952344525, -73.9234163142412 40.69126816375978, -73.92347409278744 40.691301018705474, -73.92353071747547 40.691333215480434, -73.92359019627503 40.69136703504658, -73.92381457217775 40.691141733964244, -73.92375509346742 40.69110791271208, -73.92369847004538 40.69107571604739, -73.9236406892167 40.69104286211238, -73.92359735481581 40.69101822141767, -73.92354289629168 40.69107290675077, -73.92353133942711 40.69106633613009, -73.92347644938081 40.69103512476886, -73.92342155938583 40.691003913381344, -73.92336666826023 40.69097270106621)))","","9:00a - 12:00p","10:00a - 4:00p","10:00a - 4:00p","","","",83,18,"Active",11221
"30","B438-GT001",24,"false",125,2280,152,"false","true","true","false",NA,"false","false","false","true","true","true","false","false","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false",55,"B",316,8,41,"721 Decatur Street Community Garden","DPR","MULTIPOLYGON (((-73.91454600293581 40.683882164111964, -73.91455915198057 40.683880645703276, -73.91453173489799 40.683694431393015, -73.91443258598883 40.68370412738702, -73.91435290931413 40.683711919695064, -73.91421939776991 40.683727813378546, -73.91421254638136 40.6837286286394, -73.91421720909678 40.683751920317384, -73.9142295681958 40.68381365168469, -73.91423988920239 40.68386520661964, -73.91425012207375 40.68391631933514, -73.91425264797394 40.683928933821264, -73.91434737880063 40.68391754532884, -73.91434502976739 40.68390536322334, -73.91454600293581 40.683882164111964)))","","","8:00 a.m - 1:00 p.m","","8:00 a.m - 1:00 p.m","","",73,25,"Active",11233
"31","B439-GT001",34,"false",175.75,1745.75,125,"false","false","false","true",120,"false","false","true","true","true","true","true","true","true","false","true","false","false","true","false","false","","false","false","false","false","true","false","false",56,"B",303,8,36,"All People's Community Garden","DPR","MULTIPOLYGON (((-73.94599586307436 40.69442428940795, -73.9459789159417 40.69432517910893, -73.94567143527577 40.69435926916851, -73.94567279852019 40.6943661686414, -73.94569188399944 40.694462727040204, -73.945996646957 40.694427858508384, -73.94599586307436 40.69442428940795)))","7:00am - 11:00am & 1:00pm - 6:00pm","7:00am - 11:00am & 1:00pm - 6:00pm","","","7:00am - 11:00am & 1:00pm - 6:00pm","7:00am - 11:00am & 1:00pm - 6:00pm","7:00am - 11:00am & 1:00pm - 6:00pm",79,25,"Active",11206
"32","B440-GT001",37,"false",145,9751.5,449,"false","true","true","false",NA,"false","false","false","true","true","true","false","true","true","false","false","false","false","true","false","false","","false","false","false","false","false","false","false",55,"B",316,8,41,"Amboy Street Garden","DPR","MULTIPOLYGON (((-73.91430608080714 40.665036429486, -73.91395120428503 40.66509724390614, -73.91395113922826 40.66509725466366, -73.91363114110393 40.665152091338456, -73.91361803058032 40.66517875028708, -73.91368908800685 40.665466840085536, -73.91403349534053 40.66541660152011, -73.91402001603642 40.66536429485954, -73.9140026653689 40.66529695928706, -73.91399185254953 40.665254996145755, -73.91398097738181 40.66521278801616, -73.91433810205686 40.66516069397823, -73.91430608080714 40.665036429486)))","11:00 a.m. -  4:00 p.m.","","11:00 a.m. -  4:00 p.m.","11:00 a.m. -  4:00 p.m.","11:00 a.m. -  4:00 p.m.","","",73,25,"Active",11212
"33","B441-GT001",38,"false",146.25,369.75,21.75,"false","false","false","true",180,"false","false","false","true","true","false","false","false","false","false","false","false","true","true","false","false","","false","false","false","false","false","false","false",56,"B",303,8,36,"American Heart Garden","DPR","MULTIPOLYGON (((-73.9467539578183 40.6933146568662, -73.94669777428652 40.693034169675784, -73.94662637040156 40.693042369973405, -73.946618961189 40.693043220223345, -73.94667514321233 40.69332370925238, -73.9467539578183 40.6933146568662)))","9:00 a.m. - 3:00 p.m.","9:00 a.m. - 3:00 p.m.","9:00 a.m. - 3:00 p.m.","9:00 a.m. - 3:00 p.m.","9:00 a.m. - 3:00 p.m.","9:00 a.m. - 3:00 p.m.","9:00 a.m. - 3:00 p.m.",79,25,"Active",11206
