gardenname,Garden Address,Borough,Food,Food Count,FruitTrees,FruitTrees Count,Chickens,Chickens Count,,
Fantasy Garden,,,TRUE,,TRUE,,FALSE,,,
Farmers Garden,,,TRUE,,TRUE,,FALSE,,,
Friends of Flowers Community Garden,,,FALSE,,FALSE,,FALSE,,,
First Quincy Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
Santos Community Garden,"2110 Mermaid Ave, Brooklyn, NY 11224",Brooklyn,TRUE,1,TRUE,1,TRUE,1,,
Floral Vineyard,,,TRUE,,TRUE,,FALSE,,,
Escape to Nature,,,TRUE,,FALSE,,FALSE,,,
Good Shepherds Community Group,,,TRUE,,TRUE,,FALSE,,,
Granite Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
Tranquility Farm (Willoughby Ave. Garden),"267 Throop Ave, Brooklyn, NY 11206",Brooklyn,TRUE,1,TRUE,1,TRUE,1,,
Greene Avenue United Neighbors Community Garden,,,TRUE,,TRUE,,FALSE,,,
Hancock Community Backyard Garden Park,,,TRUE,,TRUE,,FALSE,,,
Harlem Grown 134th Street Farm,"116 W 134th St, New York, NY 10030",Manhattan,TRUE,1,TRUE,1,TRUE,1,,
Herbal Garden of East New York,,,TRUE,,TRUE,,FALSE,,,
Eden Community Garden,,,TRUE,,FALSE,,FALSE,,,
Jerome Gardens,,,TRUE,,TRUE,,FALSE,,,
Jerry and the Senior Gents of E.N.Y.,,,TRUE,,TRUE,,FALSE,,,
Lefferts Place Community Garden,,,TRUE,,TRUE,,FALSE,,,
Lincoln Road Garden,,,TRUE,,FALSE,,FALSE,,,
Madison Square Association Garden,,,TRUE,,TRUE,,FALSE,,,
Madison Hill Community Garden,,,TRUE,,TRUE,,FALSE,,,
ENY Oasis Community Garden,,,TRUE,,TRUE,,FALSE,,,
Gregory's Garden,,,TRUE,,TRUE,,FALSE,,,
Monty's Bradford Street Garden,,,FALSE,,TRUE,,FALSE,,,
Green Valley Garden,,,TRUE,,TRUE,,FALSE,,,
A Patch of Inspiration,,,FALSE,,TRUE,,FALSE,,,
Preston Community Garden,,,TRUE,,FALSE,,FALSE,,,
Red Gate Garden,,,TRUE,,TRUE,,FALSE,,,
Red Shed Community Garden,,,TRUE,,TRUE,,FALSE,,,
Pleasant Village Community Garden,"342 Pleasant Ave, New York, NY 10035",Manhattan,TRUE,1,TRUE,1,TRUE,1,,
Shield of Faith,,,TRUE,,TRUE,,FALSE,,,
New Jersey Avenue Community Garden,,,TRUE,,TRUE,,FALSE,,,
Upon This Rock Community Garden,,,TRUE,,TRUE,,FALSE,,,
T&T Vernon Block Community Garden,,,TRUE,,TRUE,,FALSE,,,
Vernon and Throop Community Garden,,,TRUE,,TRUE,,FALSE,,,
Victory Garden B5,,,TRUE,,FALSE,,FALSE,,,
Marge Matthews Garden,,,FALSE,,FALSE,,FALSE,,,
New Madison Harvest Community Garden,,,TRUE,,FALSE,,FALSE,,,
Patrick Van Doren Pocket Park,,,TRUE,,TRUE,,FALSE,,,
Tehuti Ma’at Community Garden,,,TRUE,,TRUE,,FALSE,,,
Shiloh Garden,,,TRUE,,TRUE,,FALSE,,,
Stars of Hope Community Garden,,,TRUE,,TRUE,,FALSE,,,
Ponderosa Garden,,,TRUE,,TRUE,,FALSE,,,
Sterling Community Group Garden,,,TRUE,,TRUE,,FALSE,,,
Prophecy Garden,,,TRUE,,FALSE,,FALSE,,,
A Better Community Garden,,,TRUE,,TRUE,,FALSE,,,
Garden of Life (Brooklyn),,,TRUE,,TRUE,,FALSE,,,
Vernon Cases Community Garden,,,TRUE,,FALSE,,FALSE,,,
Poppa & Momma Jones Historical Garden,,,TRUE,,TRUE,,FALSE,,,
Fred McLeod Community Garden,,,FALSE,,TRUE,,FALSE,,,
Jes Good Rewards Children's Garden,,,TRUE,,TRUE,,FALSE,,,
It's All About Brownsville,,,TRUE,,TRUE,,FALSE,,,
Newport Garden,,,TRUE,,TRUE,,FALSE,,,
Nehemiah 10 Community Garden,,,TRUE,,TRUE,,FALSE,,,
ENY Youth Farm,,,TRUE,,TRUE,,FALSE,,,
Powell Street Garden,,,TRUE,,TRUE,,FALSE,,,
Phoenix Community Garden,,,TRUE,,TRUE,,FALSE,,,
Gates Harvest Garden,,,TRUE,,FALSE,,FALSE,,,
Spencer Street Community Garden,,,FALSE,,TRUE,,FALSE,,,
Oriental Garden,,,TRUE,,FALSE,,FALSE,,,
Jerome-Glenmore Cornerstone,,,FALSE,,FALSE,,FALSE,,,
Sumpter Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
Cleveland Street Vegetable Garden,,,TRUE,,FALSE,,FALSE,,,
Hands & Heart (New Lots Urban Farm),,,TRUE,,TRUE,,FALSE,,,
Howard Garden,,,TRUE,,TRUE,,FALSE,,,
Seasons of Vision Garden,,,TRUE,,FALSE,,FALSE,,,
Garden of Plenty,,,TRUE,,TRUE,,FALSE,,,
F.A.R.R. Community Garden,,,TRUE,,TRUE,,FALSE,,,
Abib Newborn,,,TRUE,,TRUE,,FALSE,,,
400 Montauk Community Garden,,,TRUE,,TRUE,,FALSE,,,
Welcome Home Garden,,,TRUE,,TRUE,,FALSE,,,
Eden’s Community Garden,,,TRUE,,FALSE,,FALSE,,,
Fresh Farm,,,TRUE,,FALSE,,FALSE,,,
Rockaway Youth Community Power,"310 Beach 58th St, Arverne, NY 11692",Queens,TRUE,1,TRUE,1,TRUE,1,,
Feeding Tree Garden,,,TRUE,,TRUE,,FALSE,,,
Whole Neighborhood Garden,,,TRUE,,FALSE,,FALSE,,,
Keap Fourth Community Garden,,,TRUE,,TRUE,,FALSE,,,
Vinegar Hill Community Garden,,,TRUE,,TRUE,,FALSE,,,
Grand Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
61 Franklin Street Garden,,,TRUE,,FALSE,,FALSE,,,
Brownsville Green Community Garden,,,TRUE,,TRUE,,FALSE,,,
Know Waste Lands,,,TRUE,,FALSE,,FALSE,,,
Living Laboratory Community Garden,,,TRUE,,FALSE,,FALSE,,,
Linwood Street Garden,,,TRUE,,FALSE,,FALSE,,,
South Brooklyn Children's Garden,,,TRUE,,TRUE,,FALSE,,,
Pirate's Cove Garden,,,TRUE,,FALSE,,FALSE,,,
Saratoga Farm,,,TRUE,,FALSE,,FALSE,,,
Surfside Garden Multi-Cultural Coalition,,,TRUE,,TRUE,,FALSE,,,
ISO Student Farm,,,TRUE,,FALSE,,FALSE,,,
Positive Seeds of Life Garden,,,TRUE,,TRUE,,FALSE,,,
Isabahlia Community Garden,,,TRUE,,TRUE,,FALSE,,,
Brownsville Community Farm (James McKeather),,,FALSE,,TRUE,,FALSE,,,
Her-King Alagantic Community Garden,,,TRUE,,TRUE,,FALSE,,,
Ashford Street Abundant Garden,,,TRUE,,FALSE,,FALSE,,,
Ashford Learning Garden,,,TRUE,,FALSE,,FALSE,,,
Chestnut Street Garden,,,TRUE,,TRUE,,FALSE,,,
Dolly's Park,,,FALSE,,FALSE,,FALSE,,,
Bountiful Bliss Community Garden,,,TRUE,,TRUE,,FALSE,,,
Hattie Carthan Herban Farm,,,TRUE,,TRUE,,FALSE,,,
Patchen Community Square Garden,,,TRUE,,TRUE,,FALSE,,,
Halsey Ralph & Howard Community Garden,,,TRUE,,TRUE,,FALSE,,,
462 Halsey Community Farm,,,TRUE,,TRUE,,FALSE,,,
Edgemere Farm,"385 B 45 St, Far Rockaway, NY 11691",Queens,TRUE,1,TRUE,1,TRUE,1,,
EL Garden,,,TRUE,,TRUE,,FALSE,,,
Sunkissed Garden,,,TRUE,,TRUE,,FALSE,,,
Imani II Community Garden,,,TRUE,,FALSE,,FALSE,,,
Java Street Community Garden,,,TRUE,,FALSE,,FALSE,,,
Warwick Street Greenery Glow Garden,,,TRUE,,FALSE,,FALSE,,,
Brooklyn's Finest Garden,,,TRUE,,TRUE,,FALSE,,,
Hooper Grove,,,FALSE,,TRUE,,FALSE,,,
Moffat Street Community Garden,,,TRUE,,FALSE,,FALSE,,,
Maple Street Community Garden,,,TRUE,,FALSE,,FALSE,,,
Jenny's Garden,,,TRUE,,TRUE,,FALSE,,,
Far Rock Urban Agro-Education Center,"378 B 45 St, Far Rockaway, NY 11691",Queens,TRUE,1,TRUE,1,TRUE,1,,
Down to Earth Garden,,,TRUE,,TRUE,,FALSE,,,
RING - Riverside Inwood Neighborhood Garden,,,FALSE,,FALSE,,FALSE,,,
El Jardin del Paraiso,,,TRUE,,TRUE,,FALSE,,,
Clinton Community Garden,,,TRUE,,TRUE,,FALSE,,,
Fishbridge Park Garden,,,TRUE,,FALSE,,FALSE,,,
6th Street & Avenue B Garden,,,TRUE,,TRUE,,FALSE,,,
West 132nd Street Garden,,,TRUE,,TRUE,,FALSE,,,
Friends of Brook Park Community Garden,"494 E 141st St, Bronx, NY 10454",Bronx,TRUE,1,TRUE,1,TRUE,1,,
133rd Swing Street Garden,,,TRUE,,TRUE,,FALSE,,,
Unity Park,,,TRUE,,TRUE,,FALSE,,,
Garden of Happiness,"2160 Prospect Ave, Bronx, NY 10457",Bronx,TRUE,1,TRUE,1,TRUE,1,,
West 104th Street Garden,,,TRUE,,TRUE,,FALSE,,,
West 87th Street Park & Garden,,,FALSE,,FALSE,,FALSE,,,
Fireman's Memorial Garden,,,FALSE,,FALSE,,FALSE,,,
Green Oasis Community Garden / Gilbert's Garden,,,TRUE,,TRUE,,FALSE,,,
9th Street Community Garden & Park,,,TRUE,,TRUE,,FALSE,,,
6BC Botanical Garden,,,FALSE,,TRUE,,FALSE,,,
Fifth Street Slope Garden,,,FALSE,,TRUE,,FALSE,,,
Miracle Garden,,,FALSE,,FALSE,,FALSE,,,
Creative Little Garden,,,FALSE,,FALSE,,FALSE,,,
Edward P. Bowman Park,,,TRUE,,FALSE,,FALSE,,,
Sugar Hill Garden,,,TRUE,,TRUE,,FALSE,,,
Edgecombe Avenue Garden Park Sanctuary,,,FALSE,,TRUE,,FALSE,,,
Taqwa Community Farm,"90 W 164th St, Bronx, NY 10452",Bronx,TRUE,1,TRUE,1,TRUE,1,,
William A. Harris Garden,,,TRUE,,TRUE,,FALSE,,,
Diamante Garden / Dimantis Garden,,,TRUE,,TRUE,,FALSE,,,
Earth People,,,TRUE,,TRUE,,FALSE,,,
La Plaza Cultural-Armando Perez,,,TRUE,,TRUE,,FALSE,,,
Flower Door Garden,,,TRUE,,TRUE,,FALSE,,,
La Casita Garden,,,TRUE,,FALSE,,FALSE,,,
Liz Christy Garden,,,FALSE,,TRUE,,FALSE,,,
Maggie's Magic Garden,,,TRUE,,TRUE,,FALSE,,,
William B. Washington Memorial Garden,,,TRUE,,FALSE,,FALSE,,,
Garden of the Humanitarians,,,FALSE,,TRUE,,FALSE,,,
Family Community Garden Manhattan,,,TRUE,,TRUE,,FALSE,,,
Claremont Neighborhood Garden,"1280 Teller Ave, Bronx, NY 10456",Bronx,TRUE,1,TRUE,1,TRUE,1,,
117th Street Community Garden,,,FALSE,,FALSE,,FALSE,,,
Secret Garden,,,TRUE,,TRUE,,FALSE,,,
Bradhurst Community Garden of Love,,,TRUE,,TRUE,,FALSE,,,
Brisas Del Caribe,,,TRUE,,TRUE,,FALSE,,,
Clinton Community Garden (LES),,,TRUE,,FALSE,,FALSE,,,
De Colores Community Yard & Cultural Center,,,TRUE,,TRUE,,FALSE,,,
Dias Y Flores,,,TRUE,,FALSE,,FALSE,,,
Neighbors of Vega Baja,,,TRUE,,TRUE,,FALSE,,,
El Sol Brillante Jr.,,,TRUE,,FALSE,,FALSE,,,
Elizabeth Langley Memorial Garden,,,TRUE,,TRUE,,FALSE,,,
Garden of Love,,,TRUE,,FALSE,,FALSE,,,
Vamos A Sembrar,,,TRUE,,TRUE,,FALSE,,,
Humacao Community Garden,,,TRUE,,TRUE,,FALSE,,,
Life Spire,,,FALSE,,FALSE,,FALSE,,,
Mobilization For Change Community Garden,,,TRUE,,TRUE,,FALSE,,,
Morris Jumel Community Garden,,,TRUE,,FALSE,,FALSE,,,
West 123rd Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
Peach Tree Garden,,,TRUE,,TRUE,,FALSE,,,
Courtlandt Avenue Community Garden,"364 E 158th St, Bronx, NY 10451",Bronx,TRUE,1,TRUE,1,TRUE,1,,
Orchard Alley,,,TRUE,,TRUE,,FALSE,,,
Robert L. Clinkscales Playground and Community Garden  (C.G. of West 146th St.),,,TRUE,,TRUE,,FALSE,,,
Harlem Roots Community Garden,,,TRUE,,FALSE,,FALSE,,,
Los Amigos,,,TRUE,,TRUE,,FALSE,,,
First Street Garden,,,FALSE,,TRUE,,FALSE,,,
Campos Community Garden,,,TRUE,,TRUE,,FALSE,,,
Clyde Romero Memorial Garden,,,FALSE,,FALSE,,FALSE,,,
West 124th Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
Harlem Rose Garden,,,FALSE,,FALSE,,FALSE,,,
Jackie Robinson Community Garden,,,TRUE,,TRUE,,FALSE,,,
Our Little Green Acre (Garden Eight),,,TRUE,,TRUE,,FALSE,,,
Peaceful Valley,,,FALSE,,TRUE,,FALSE,,,
The Julia Gabriel People's Garden,,,FALSE,,FALSE,,FALSE,,,
Sam & Sadie Koenig Garden,,,FALSE,,FALSE,,FALSE,,,
Hope Garden,,,FALSE,,TRUE,,FALSE,,,
Le Petit Versailles Garden,,,FALSE,,FALSE,,FALSE,,,
Frederick Douglass Boulevard Community Garden,,,FALSE,,FALSE,,FALSE,,,
Harlem Grown 131st Street Farm,,,TRUE,,FALSE,,FALSE,,,
Pa'lante Community Garden,,,TRUE,,TRUE,,FALSE,,,
La Cuevita Community Garden,,,TRUE,,TRUE,,FALSE,,,
Carrie McCracken TRUCE Garden,,,FALSE,,TRUE,,FALSE,,,
El Barrio Community Garden,,,FALSE,,FALSE,,FALSE,,,
Jane Street Garden,,,FALSE,,FALSE,,FALSE,,,
Olga's El Gallo Community Garden,,,TRUE,,TRUE,,FALSE,,,
St. Nicholas Miracle Garden,,,TRUE,,FALSE,,FALSE,,,
Children's Magical Garden,,,FALSE,,TRUE,,FALSE,,,
11 BC Serenity Garden,,,FALSE,,FALSE,,FALSE,,,
Dorothy K. McGowan Memorial Garden,,,TRUE,,TRUE,,FALSE,,,
Luigi's Garden of Love,,,TRUE,,FALSE,,FALSE,,,
Lydia's Magic Garden (El Girasol Magic Garden),,,TRUE,,TRUE,,FALSE,,,
Walter Miller III Memorial Garden (La Casa Frela),,,TRUE,,FALSE,,FALSE,,,
Electric Ladybug Garden,,,TRUE,,TRUE,,FALSE,,,
Harlem Grown 134th Street Green House,,,TRUE,,FALSE,,FALSE,,,
Harlem Valley Garden,,,TRUE,,TRUE,,FALSE,,,
Siempre Verde Garden,,,TRUE,,TRUE,,FALSE,,,
Harlem Grown 127th Street Learning Annex,,,FALSE,,FALSE,,FALSE,,,
Sage's Garden,,,TRUE,,FALSE,,FALSE,,,
Diversity Edible Farm Garden,,,FALSE,,FALSE,,FALSE,,,
Mission Garden,,,FALSE,,FALSE,,FALSE,,,
Villa Santurce,,,FALSE,,FALSE,,FALSE,,,
Long Island City Community Garden,,,TRUE,,FALSE,,FALSE,,,
Trees of Life Organic Garden,,,TRUE,,FALSE,,FALSE,,,
Liberty Collective Learning Gardeners,,,FALSE,,FALSE,,FALSE,,,
Evergreen Community Garden,,,TRUE,,TRUE,,FALSE,,,
Rockaway Roots Urban Farm,,,TRUE,,TRUE,,FALSE,,,
Jardin la Roca,"438 E 160th St, Bronx, NY 10451",Bronx,TRUE,1,TRUE,1,TRUE,1,,
Black Joy Farm,"972 Simpson St, Bronx, NY 10459",Bronx,TRUE,1,TRUE,1,TRUE,1,,
Corona Peachtree Community Garden,,,TRUE,,TRUE,,FALSE,,,
Project Eden,,,TRUE,,FALSE,,FALSE,,,
Two Coves Community Garden,,,TRUE,,TRUE,,FALSE,,,
Walt L. Shamel Community Garden,"1095 Dean St, Brooklyn, NY 11216",Brooklyn,TRUE,1,FALSE,,TRUE,1,,
Hart to Hart Community Garden,"108 Hart St, Brooklyn, NY 11206",Brooklyn,TRUE,1,FALSE,,TRUE,1,,
South Jamaica Infinity Garden,,,FALSE,,TRUE,,FALSE,,,
Paradise Community Garden NY,,,TRUE,,FALSE,,FALSE,,,
George Eagle Carr Community Garden,,,TRUE,,TRUE,,FALSE,,,
George Washington Carver Botanical Garden,,,FALSE,,FALSE,,FALSE,,,
Phoenix Gate Community Garden,,,FALSE,,FALSE,,FALSE,,,
Discovery Community Garden 1,,,TRUE,,TRUE,,FALSE,,,
Discovery Community Garden 2,,,TRUE,,TRUE,,FALSE,,,
97th Street Community Garden,,,TRUE,,FALSE,,FALSE,,,
Community Serenity Garden,,,TRUE,,TRUE,,FALSE,,,
Windmill Community Garden,,,TRUE,,FALSE,,FALSE,,,
The Garden By The Bay,,,FALSE,,FALSE,,FALSE,,,
Bay 84th Street Community Garden,,,TRUE,,FALSE,,FALSE,,,
Garden of Resilience,,,FALSE,,FALSE,,FALSE,,,
Garden of Resilience,,,FALSE,,FALSE,,FALSE,,,
West Brighton Community Garden,,,TRUE,,FALSE,,FALSE,,,
Skyline Community Garden,,,TRUE,,FALSE,,FALSE,,,
Joe Holzka Community Garden,,,TRUE,,TRUE,,FALSE,,,
Eternal Life Community Garden,,,TRUE,,FALSE,,FALSE,,,
Damiana Pizarro Community Garden,,,TRUE,,TRUE,,FALSE,,,
Waterfront Community Garden,,,TRUE,,TRUE,,FALSE,,,
Harding Park Community Garden,,,TRUE,,TRUE,,FALSE,,,
Wishing Well Garden,,,TRUE,,FALSE,,FALSE,,,
Demera Santiago Garden,,,FALSE,,FALSE,,FALSE,,,
El Flamboyan,,,TRUE,,TRUE,,FALSE,,,
Grove Hill Community Garden,,,TRUE,,TRUE,,FALSE,,,
New Hoe Avenue Garden,,,TRUE,,FALSE,,FALSE,,,
Bronx River Community Garden,,,TRUE,,TRUE,,FALSE,,,
100 Quincy Community Garden,"100 Quincy St, Brooklyn, NY 11238",Brooklyn,TRUE,1,FALSE,,TRUE,1,,
Cook Community Farm,,,TRUE,,TRUE,,FALSE,,,
Farm in the Bronx,,,TRUE,,TRUE,,FALSE,,,
Krystal Community Garden,,,TRUE,,TRUE,,FALSE,,,
Freeman Garden,,,TRUE,,FALSE,,FALSE,,,
Wanaqua Garden,,,TRUE,,TRUE,,FALSE,,,
Mosaic Success Garden,,,TRUE,,FALSE,,FALSE,,,
Eagle Slope,,,TRUE,,TRUE,,FALSE,,,
138th Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
United We Stand Garden (Sunflower / Girasol),,,TRUE,,TRUE,,FALSE,,,
Padre Plaza,,,TRUE,,TRUE,,FALSE,,,
Bean Morris Garden,,,FALSE,,FALSE,,FALSE,,,
M'finda Kalunga Garden,"179 Chrystie St, New York, NY 10002",Manhattan,TRUE,1,FALSE,,TRUE,1,,
Gatehouse Garden,"1195 Amsterdam Ave, New York, NY 10027",Manhattan,TRUE,1,FALSE,,TRUE,1,,
Garden of Eden,,,TRUE,,TRUE,,FALSE,,,
Garden of Eden,,,,,,,,,,
Garden of Life,,,TRUE,,TRUE,,FALSE,,,
Sweetgum Community Garden,,,FALSE,,FALSE,,FALSE,,,
El Batey Borincano,,,TRUE,,TRUE,,FALSE,,,
Isla Verde Garden,,,TRUE,,TRUE,,FALSE,,,
Bryant Hill Community Garden,,,TRUE,,TRUE,,FALSE,,,
Genesis Community Garden,,,TRUE,,TRUE,,FALSE,,,
159th Street Community Garden,,,TRUE,,TRUE,,FALSE,,,
Franklin Memorial Garden,,,TRUE,,TRUE,,FALSE,,,
Marie Brooks Community Garden,,,TRUE,,TRUE,,FALSE,,,
Jardin de la Familia,,,TRUE,,TRUE,,FALSE,,,
Corozal Family,"170 E 117th St, New York, NY 10035",Manhattan,TRUE,1,FALSE,,TRUE,1,,
Jardin de las Rosas,,,TRUE,,TRUE,,FALSE,,,
El Batey de Dona Provi,,,TRUE,,TRUE,,FALSE,,,
Green Patch on Walton,,,TRUE,,TRUE,,FALSE,,,
Randall Community Garden,,,TRUE,,TRUE,,FALSE,,,
Hispanos Unidos,,,TRUE,,TRUE,,FALSE,,,
La Isla Youth Community Garden,,,TRUE,,TRUE,,FALSE,,,
Las Casitas Community Garden,,,TRUE,,TRUE,,FALSE,,,
Miracle Garden - Bronx,,,TRUE,,TRUE,,FALSE,,,
Concrete Dreams Community Garden,,,FALSE,,FALSE,,FALSE,,,
Townsend Garden,,,TRUE,,TRUE,,FALSE,,,
Schomburg Arts Garden,,,FALSE,,FALSE,,FALSE,,,
Woodycrest Community Garden,,,TRUE,,TRUE,,FALSE,,,
Risse Street Community Garden,,,TRUE,,FALSE,,FALSE,,,
Joseph Daniel Wilson Memorial Gardens,"219 W 122nd St, New York, NY 10027",Manhattan,TRUE,1,FALSE,,TRUE,1,,
Bronx Sunshine Garden,,,TRUE,,TRUE,,FALSE,,,
Cordelia’s Garden,,,TRUE,,TRUE,,FALSE,,,
La Isla USA,,,TRUE,,FALSE,,FALSE,,,
Model T Community Garden,,,TRUE,,TRUE,,FALSE,,,
New Beginnings Community Garden,,,FALSE,,FALSE,,FALSE,,,
Magnolia Tree Community Garden,,,TRUE,,TRUE,,FALSE,,,
Hornaday Community Garden,,,TRUE,,TRUE,,FALSE,,,
Vogue Community Garden,,,FALSE,,FALSE,,FALSE,,,
Sparrow's Nest Community Garden,"107-54 101st St, Queens, NY 11417",Queens,TRUE,1,FALSE,,TRUE,1,,
El Coqui Liberation Community Garden,,,TRUE,,TRUE,,FALSE,,,
Family and Friends Community Garden,,,TRUE,,TRUE,,FALSE,,,
Rays of Sunshine Community Garden (Family Group Garden),,,TRUE,,TRUE,,FALSE,,,
Leave It Better Community Garden,,,TRUE,,FALSE,,FALSE,,,
Melrose New Generation Community Garden,,,TRUE,,TRUE,,FALSE,,,
Rainbow Garden of Life and Health,,,TRUE,,TRUE,,FALSE,,,
College Avenue Garden,,,TRUE,,TRUE,,FALSE,,,
Synergi Urban Garden,,,TRUE,,TRUE,,FALSE,,,
Morning Glory Community Garden,,,TRUE,,TRUE,,FALSE,,,
Centro Cultural Rincon Criollo,,,TRUE,,TRUE,,FALSE,,,
Havemeyer Garden Association,,,TRUE,,TRUE,,FALSE,,,
Concerned Residents of Barbey Street,"351 Barbey St, Brooklyn, NY 11207",Brooklyn,FALSE,,FALSE,,TRUE,1,,
,,,Total,26,Total,18,Total,27,,
